id,user_id,sequence_number,session_id,created_at,ip_address,city,state,postal_code,browser,traffic_source,uri,event_type
1,1,1,"00571567-4a4f-4891-9c39-73b2c64d1cce","2023-08-26 14:47:11","102.22.24.69","null","Pernambuco","55730-000","Chrome","Email","/home","home"
2,1,2,"00571567-4a4f-4891-9c39-73b2c64d1cce","2023-08-26 14:49:55","102.22.24.69","null","Pernambuco","55730-000","Chrome","Email","/department/men/category/active/brand/mjsoffe","department"
3,1,3,"00571567-4a4f-4891-9c39-73b2c64d1cce","2023-08-26 14:52:06","102.22.24.69","null","Pernambuco","55730-000","Chrome","Email","/product/18431","product"
4,1,4,"00571567-4a4f-4891-9c39-73b2c64d1cce","2023-08-26 14:54:47","102.22.24.69","null","Pernambuco","55730-000","Chrome","Email","/cart","cart"
5,1,5,"00571567-4a4f-4891-9c39-73b2c64d1cce","2023-08-26 14:54:59","102.22.24.69","null","Pernambuco","55730-000","Chrome","Email","/purchase","purchase"
6,2,1,"1644cbfc-f3d2-4a22-95c7-775299945ced","2025-03-22 05:30:39","176.120.198.51","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/department/men/category/sleep&lounge/brand/majesticinternational","department"
7,2,2,"1644cbfc-f3d2-4a22-95c7-775299945ced","2025-03-22 05:31:15","176.120.198.51","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/product/26945","product"
8,2,3,"1644cbfc-f3d2-4a22-95c7-775299945ced","2025-03-22 05:32:58","176.120.198.51","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/cart","cart"
9,2,4,"1644cbfc-f3d2-4a22-95c7-775299945ced","2025-03-22 05:35:51","176.120.198.51","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/department/men/category/sleep&lounge/brand/majesticinternational","department"
10,2,5,"1644cbfc-f3d2-4a22-95c7-775299945ced","2025-03-22 05:37:17","176.120.198.51","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/product/26945","product"
11,2,6,"1644cbfc-f3d2-4a22-95c7-775299945ced","2025-03-22 05:38:12","176.120.198.51","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/cart","cart"
12,2,7,"1644cbfc-f3d2-4a22-95c7-775299945ced","2025-03-26 05:39:51","176.120.198.51","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/purchase","purchase"
13,2,1,"c2e0b941-c273-4849-aefd-2752e75ce667","2025-03-22 08:00:32","14.223.216.185","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/department/men/category/shorts/brand/originalpenguin","department"
14,2,2,"c2e0b941-c273-4849-aefd-2752e75ce667","2025-03-22 08:03:15","14.223.216.185","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/product/23463","product"
15,2,3,"c2e0b941-c273-4849-aefd-2752e75ce667","2025-03-22 08:04:46","14.223.216.185","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/cart","cart"
16,2,4,"c2e0b941-c273-4849-aefd-2752e75ce667","2025-03-22 08:04:48","14.223.216.185","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/department/men/category/shorts/brand/originalpenguin","department"
17,2,5,"c2e0b941-c273-4849-aefd-2752e75ce667","2025-03-22 08:05:41","14.223.216.185","Santa Coloma de Gramanet","Cataluña","8921","Chrome","Email","/product/23463","product"
